destination_id,country_id,name,latitude,longitude,description,tags,type,iata,hotel_ids
11,193,Buffalo,42.8864,-78.8784,Western New York city near Niagara Falls,city,urban,BUF,"['SZBUF030', 'MTBUF400', 'CXBUF551', 'BWBUF137', 'MTBUF111', 'RFBUF055', 'CCBUF244', 'HYBUFHBU', 'DIBUF285', 'DTBUF187', 'UZBUF734', 'ALBUF239', 'QIBUF505', 'IQBUFLOP', 'CZBUF200', 'TOBUFTST', 'WVBUF425', 'ILBUF716', 'CZBUF102', 'BWBUF155', 'MCBUFBDM', 'BWBUF035', 'MXBUFB87', 'CYBUFDTC', 'CYBUFAPC', 'NZBUF587', 'MXBUFC94', 'YXBUF100', 'HGBUF113', 'CIBUF208', 'LMBUFROY', 'RFBUF104', 'BWBUF150', 'FNBUFFSF', 'YOBUF7C2', 'RABUF590', 'ONBUFUNI', 'ESBUF716', 'WVBUF085', 'OZBUF774', 'RFBUF137', 'HIBUF592', 'GZBUF287', 'UZBUF789', 'HGBUFGQ3', 'CIBUF028', 'HIBUF7F0', 'CYBUFCYC', 'MUBUF627', 'RCBUFRIR', 'YXBUF661', 'HXBUF436', 'DIBUF996', 'MCBUFNYM', 'HXBUFFT0', 'HIBUF0B5', 'HIBUFEA5', 'YZBUFB95', 'ILBUFLOR', 'UZBUF078', 'BWBUF115', 'EABUF554', 'WVBUF426', 'HIBUF646', 'GIBUF444', 'RCBUFAMR', 'HXBUF220', 'EOBUF143']"
12,193,Rochester NY,43.1566,-77.6088,Finger Lakes region city,city,urban,ROC,"['WVROCLWL', 'GIROC255', 'HXROC878', 'HIROCBE4', 'EOROC150', 'LQROC170', 'SCROCLHL', 'HIROC1A5', 'LQROC386', 'QIROC294', 'HGROC209', 'FNROCFAF', 'HXROC978', 'CYROCCHC', 'OZROC048', 'BWROC158', 'CIROC021', 'HIROCC15', 'QIROC112', 'HIROC4C6', 'YZROC5EC', 'HGROC585', 'EAROC765', 'MXROCB43', 'EAROC503', 'CYROCCYC', 'CCROC503', 'IRROC101', 'BWROC140', 'BWROC132', 'RDROC541', 'HXROCFT4', 'YXROC002', 'BWROC125', 'ILROC789', 'EOROC368', 'RCROCRIR', 'RFROC796', 'CIROC357', 'CXROC453', 'MSROC933', 'RCROCNYR', 'HSROCACL', 'UZROC147', 'MSROC864', 'MCROCAPM', 'RDROC128', 'CXROC847', 'QIROC211', 'DTROC152', 'WVROC856', 'YXROC400', 'CXROC765', 'DIROC812', 'QIROC332', 'HIROCBA8', 'RYROC494', 'WVROC281', 'FNROCFIF', 'RFROC042', 'SCROC922', 'MTROC100', 'FNROCWBF', 'BWROC130', 'FNROCFGF', 'CIROC333', 'CIROC407', 'SCROCLON', 'BRROCDLB', 'LMROC306']"
13,193,Syracuse,43.0481,-76.1474,Central New York city,city,urban,SYR,"['QISYR137', 'SCSYREIM', 'RFSYR157', 'OZSYR619', 'CISYR341', 'QISYR613', 'OZSYR625', 'OZSYR188', 'SISYR813', 'OZSYR714', 'DISYR966', 'YXSYR101', 'DISYR693', 'WVSYR300', 'CISYR198', 'HGSYR4FC', 'EOSYR299', 'GQSYRCLA', 'FNSYRNCF', 'EOSYR053', 'EOSYR405', 'FNSYRVRF', 'BWSYR154', 'UZSYR938', 'ILSYR213', 'IMSYRFLL', 'ILSYR134', 'DTSYR315', 'WGSYR160', 'BWSYR079', 'GISYR182', 'BWSYR066', 'BWSYR121', 'BWSYR037', 'RCSYRDRR', 'DISYR037', 'XVSYRSHS', 'GZSYR446', 'CYSYRDTC', 'DISYR9AF', 'HXSYRFO2', 'WVSYR181', 'CZSYR452', 'EASYR504', 'RCSYRRIR', 'OZSYR706', 'WVSYRJEF', 'RASYR951', 'HISYRDEA', 'WVSYR126', 'CPSYRC04', 'UZSYR123', 'CYSYRCAC', 'QISYR449', 'GISYR224', 'ILSYR480']"
14,193,Binghamton,42.0987,-75.918,Southern Tier region of NY,city,urban,BGM,"['CYBGMVSC', 'HXBGM103', 'RFBGM203', 'OZBGM705', 'CIBGM302', 'HJBGM199', 'CIBGM550', 'MXBGMB44', 'QIBGM323', 'FNBGMWBF', 'HXBGMH66', 'EOBGM254', 'CZBGM384', 'DTBGM722', 'LMBGM342', 'OZBGM756', 'ILBGM163', 'YXBGMTRA', 'HXBGM370', 'BWBGM024', 'KGBGM163', 'HJBGM093', 'QIBGM413', 'RCBGMNYR', 'FNBGMFIF']"
15,193,Elmira (Corning),42.0898,-76.8077,Southern Tier region,city,urban,ELM,"['KGELM865', 'EOELM140', 'BWELM095', 'GIELM184', 'OZELM648', 'CXELM882', 'EOELM032', 'YOELM705', 'IMELMVIS', 'MSELM700', 'RDELM409', 'HXELM607', 'RYELM549', 'MTELM830', 'CIELM089', 'YZELM190', 'HIELM8DD', 'CIELM455', 'EOELM124', 'MTELM341', 'FNELMHHF', 'UZELM123', 'CIELM697', 'CIELM139', 'RAELM826', 'IMELMCIN', 'MXELME86', 'MSELM446', 'HXELM169', 'MSELM507', 'FNELMFIF', 'HXELM308']"
16,193,Utica,43.1009,-75.2327,Mohawk Valley region,city,urban,RME,"['EORME320', 'LQRME342']"
17,193,Watertown,43.9748,-75.9108,Northern New York near Fort Drum,city,urban,ART,"['EOART138', 'BWART097', 'RAART488', 'CIART305', 'RYART474', 'MTART100', 'GIART315', 'MSART888', 'MSART570', 'DIART093', 'SCARTWBI', 'QIART078', 'FNARTFIF']"
18,193,Philadelphia,39.9526,-75.1652,Historic Pennsylvania city,"city,historical",urban,PHL,"['WVPHL251', 'SZPHL716', 'BWPHL121', 'HIPHL8E0', 'HGPHL251', 'RDPHL685', 'RCPHLLHR', 'KCPHL006', 'ILPHLNAM', 'YXPHL005', 'EAPHL216', 'SIPHL867', 'RYPHL271', 'KCPHLMPA', 'BWPHL080', 'WIPHL570', 'HIPHL526', 'XLPHLLHP', 'TLPHL412', 'MCPHLDTM', 'SZPHL294', 'RAPHL937', 'EAPHL454', 'SCPHL099', 'UZPHL552', 'RFPHL066', 'NZPHL501', 'FNPHLKSF', 'HXPHLHC0', 'RCPHLCNR', 'RCPHLBWR', 'YZPHL1AE', 'WGPHL841', 'HXPHLD1B', 'KGPHL718', 'HXPHL444', 'RCPHLRLR', 'XVPHLPYS', 'DIPHL500', 'RCPHLRWR', 'HIPHL88B', 'UIPHL001', 'YXPHLAME', 'LMPHL958', 'TOPHLTHT', 'HIPHLFB5', 'GZPHLKOR', 'GIPHL525', 'CIPHL124', 'LZPHLLHP', 'RCPHLRIR', 'ILPHLWOM', 'EOPHL059', 'BWPHL066', 'CYPHLMMC', 'YXPHLWHH', 'HIPHLC9D', 'OZPHL976', 'WYPHL711', 'XVPHLVOS', 'GIPHL334', 'ALPHL181', 'LEPHL605', 'MXPHLB75', 'DIPHL413', 'GZPHL188', 'HIPHL0A4', 'SIPHL674', 'MXPHL159', 'YXPHL134', 'EAPHL547', 'HYPHLPYM', 'HGPHL860', 'RYPHL335', 'GIPHL174', 'HSPHLAKR', 'HGPHL142', 'HIPHL649', 'CYPHLWGC', 'ILPHL730', 'RFPHL185', 'DIPHL355', 'CYPHLGBC', 'WIPHLXBY', 'HHPHL251', 'RFPHL332', 'UZPHL504', 'CYPHLDVC', 'EAPHLWLG', 'MTPHL101', 'QIPHL129', 'CYPHLCSC', 'GIPHL341', 'CYPHLGFC', 'LMPHL458', 'OZPHL292', 'SIPHLXEZ', 'EAPHL238', 'DIPHL856', 'MDPHL238', 'YXPHLWRN', 'ILPHL079', 'WVPHLLAM', 'YZPHL2AB', 'SIPHL776', 'CIPHL094', 'FNPHLFMF', 'EAPHL122', 'GIPHL302', 'XTPHL322', 'RFPHL165', 'YZPHL8CE', 'HIPHL616', 'SIPHL992', 'QIPHL723', 'FNPHLEXF', 'XVPHLSRS', 'GIPHL702', 'HXPHL040', 'RYPHL258', 'YXPHLJAI', 'CYPHLVGC', 'EAPHL288', 'HIPHL54D', 'CYPHLMLC', 'WYPHLMTH', 'DTPHL013', 'ILPHL753', 'OMPHL530', 'CYPHLCYC', 'BWPHL094', 'CYPHLVAC', 'CYPHLLNC', 'GIPHL215', 'CIPHL153', 'RCPHLMGR', 'EAPHL347', 'BWPHL061', 'EAPHL455', 'HGPHLGV1', 'ILPHL123', 'EAPHL431', 'EAPHL463', 'MTPHL200', 'CQPHL498', 'UZPHL487', 'ESPHL610', 'HGPHL681', 'CYPHLLDC', 'HXPHLH11', 'CIPHL096', 'YXPHL829', 'BWPHL046', 'YOPHL763', 'ILPHL412', 'XVPHLWLS', 'YXPHLACE', 'CYPHLGVC', 'QIPHL560', 'CIPHL366', 'LWPHL776', 'HGPHL527', 'HXPHLHJ0', 'HXPHL130', 'RYPHL595', 'XVPHLSPS', 'YXPHLHHL', 'RCPHLCHR', 'MXPHLE92', 'CPPHL8C0', 'TOPHLTLT', 'GZPHL840', 'MCPHLWEM', 'EAPHL197', 'RCPHLRXR', 'LMPHL241', 'WYPHL014', 'WGPHL254', 'CPPHL296', 'HXPHL495', 'FNPHLDFF', 'RCPHLRDR', 'SBPHLSOF', 'HXPHL400', 'WVPHLNOR', 'BWPHL133', 'YOPHLCAN', 'GIPHL609', 'HGPHL120', 'WYPHL21C', 'RZPHLRTZ', 'WVPHL284', 'CZPHL540', 'CYPHLDCC', 'DIPHL555', 'ALPHL082', 'DTPHL100', 'EOPHL160', 'EOPHL066', 'EAPHL453', 'QIPHL378', 'MCPHLARM', 'HYPHLHPL', 'CYPHLLMC', 'SNPHLAC4', 'FNPHLFAF', 'YXPHL935']"
19,193,Pittsburgh,40.4406,-79.9959,Western Pennsylvania city,city,urban,AGC,[]
20,193,Harrisburg-Lancaster-Lebanon-York,40.2732,-76.8867,South central Pennsylvania region,city,urban,HAR,"['BWHAR129', 'HIHAR6CA', 'TOHARTST', 'OZHAR750', 'CXHAR503', 'YZHAR869', 'HXHAR527', 'CYHARCYC', 'FNHARFCF', 'LQHARBNS', 'CIHAR321', 'BWHAR114', 'SIHAR995', 'HSHARABO', 'HHHAR523', 'DIHAR941', 'SZHAR603', 'XVHARSHS', 'HXHAR472', 'TOHARMTT', 'BWHAR110', 'LQHAR541', 'ILHAR162', 'QIHAR347', 'CIHAR529', 'CXHAR480', 'CIHAR461', 'WVHAR023', 'FNHARNCF', 'RCHARRIR', 'QIHAR586', 'ILHAR182', 'LMHAR716', 'FNHARFFF', 'OZHAR390', 'CXHAR944', 'CYHARGTC', 'FNHARHSF', 'SZHAR558', 'EOHAR415', 'CYHARWMC', 'RCHARHBR', 'ILHAR327', 'HGHAR399', 'WYHAR100', 'XVHARETS', 'CIHAR129']"
21,193,Wilkes Barre-Scranton-Hazleton,41.2465,-75.8819,Northeastern Pennsylvania region,city,urban,WBW,[]
22,193,Johnstown-Altoona-State College,40.3267,-78.922,Central Pennsylvania region,city,urban,JST,"['KGJST154', 'SZJST030', 'CIJST542', 'MSJST145', 'CIJST113', 'KGJST474', 'HIJST3C7', 'QIJST497', 'BUJSTSOM', 'HIJST418', 'CIJST217', 'EOJST723', 'EOJST341', 'HIJSTEB8']"
23,193,Erie,42.1292,-80.0851,Northwestern Pennsylvania on Lake Erie,"city,lakeside",urban,ERI,"['HXERIH41', 'CIERI108', 'DIERI514', 'QIERI548', 'SIERI728', 'QIERI256', 'HXERIG48', 'CXERI919', 'TOERIKET', 'EOERI179', 'CYERICYC', 'HGERI100', 'ILERI777', 'XVERISHS', 'UZERI654', 'MSERI871', 'CCERI339', 'RCERIRIR', 'FNERIFIF', 'CZERI505', 'LQERI247', 'RFERI054', 'WGERI550', 'OZERI308', 'IMERIRID', 'CIERI524']"
24,193,Baltimore,39.2904,-76.6122,Maryland's largest city,"city,coastal",urban,BWI,"['CXBWI333', 'ALBWI047', 'HIBWI6C2', 'EABWI699', 'INBWIB3B', 'SCBWIDRI', 'HIBWI940', 'EABWI264', 'NZBWI281', 'YXBWILWM', 'RFBWI107', 'YXBWI765', 'GZBWIBGT', 'LQBWIIZR', 'GIBWI210', 'GZBWIBSS', 'SIBWI033', 'CYBWICAC', 'EABWI113', 'DTBWIDCO', 'TOBWITAT', 'BRBWISHB', 'AMBWI770', 'WVBWI763', 'EABWI266', 'ILBWI154', 'CYBWIFMC', 'RCBWIRAR', 'HIBWI09D', 'RYBWI231', 'YXBWIBIH', 'KGBWI609', 'GZBWI83F', 'BWBWI045', 'SZBWI189', 'BWBWI028', 'MCBWIAPM', 'HXBWIGL0', 'EABWIBWI', 'HGBWI625', 'EABWI658', 'YZBWI375', 'CIBWI614', 'CYBWIDTC', 'SIBWI495', 'CIBWI611', 'BWBWI049', 'BWBWI048', 'YXBWI900', 'CYBWIBDC', 'YXBWI206', 'CZBWI167', 'HIBWI1BD', 'UIBWIBIL', 'XVBWISSS', 'EABWI265', 'RYBWI266', 'YXBWISAN', 'EABWI085', 'WGBWI702', 'TOBWITST', 'SZBWI098', 'ETBWIBUE', 'QIBWI116', 'MXBWIA76', 'YOBWILIN', 'RCBWIHBR', 'HEBWIHBR', 'XVBWICOS', 'GIBWI202', 'RCBWIRHR', 'SNBWIICA', 'GIBWI272', 'MCBWIIHM', 'DIBWI103', 'DIBWI186', 'HGBWI749', 'EOBWI083', 'DTBWI564', 'RCBWIRIR', 'LQBWIDAQ', 'TOBWIBMT', 'EABWIHSC', 'FSBWI494', 'HXBWIF5B', 'RCBWICBR', 'OZBWI062', 'XVBWIPFS', 'INBWI07E', 'FNBWIFHF', 'DIBWI869', 'ILBWI873', 'MCBWIWFM', 'MTBWI100', 'GIBWI301', 'QIBWI208', 'CIBWI171', 'YXBWI204', 'SIBWIXEP', 'ESBWI011', 'FNBWIMSF', 'HXBWI702', 'RFBWI187', 'CYBWIHUC', 'ALBWI050', 'ESBWIEFC', 'XVBWIABS', 'RFBWI149', 'CIBWI175', 'RFBWI136', 'SIBWI197', 'BWBWI046', 'BWBWI035', 'LQBWIDAR', 'EABWI730', 'IMBWIRDB', 'SCBWI276', 'EOBWI210', 'RFBWI160', 'CYBWICLC', 'NZBWI280', 'FNBWIASF', 'DTBWI556', 'CIBWI410', 'XVBWIBAS', 'FNBWILRF', 'OZBWI499', 'RCBWIWMR', 'MXBWI744', 'XVBWISIS', 'HHBWI212', 'RCBWIDER', 'WIBWI508', 'BWBWI054', 'HIBWIA3F', 'QIBWI190', 'GIBWI219', 'CXBWI946', 'SZBWI153', 'RFBWI209', 'CXBWI484', 'RDBWI635', 'BWBWI058', 'CIBWI045', 'EOBWI077', 'ILBWI231', 'HXBWI9E7', 'XVBWISUS', 'GIBWI118', 'HXBWI550', 'HGBWI832', 'FNBWIAFF', 'TOBWITFT', 'RCBWIAMR']"
